date,value
2015-02-01 02:15:51 +0000, 158
2015-02-02 02:21:29 +0000, 158
2015-02-03 02:33:08 +0000, 158
2015-02-04 02:20:45 +0000, 159
2015-02-05 02:21:26 +0000, 158
2015-02-06 02:20:22 +0000, 159
2015-02-07 02:03:34 +0000, 160
2015-02-08 01:59:36 +0000, 161
2015-02-09 02:18:03 +0000, 160
2015-02-10 02:33:41 +0000, 17
2015-02-11 01:58:53 +0000, 17
2015-02-12 03:06:11 +0000, 526
2015-02-13 02:08:21 +0000, 18
2015-02-14 02:03:55 +0000, 18
2015-02-15 02:00:56 +0000, 19
2015-02-16 02:21:13 +0000, 16
2015-02-17 02:24:09 +0000, 17
2015-02-18 02:30:57 +0000, 16
2015-02-19 02:37:52 +0000, 63
2015-02-20 02:33:39 +0000, 20
2015-02-21 01:55:23 +0000, 14
2015-02-22 01:58:54 +0000, 14
2015-02-23 02:21:14 +0000, 14
2015-02-24 02:24:15 +0000, 15
2015-02-25 02:43:44 +0000, 15
2015-02-26 02:48:05 +0000, 194
2015-02-27 02:49:57 +0000, 15
2015-02-28 02:01:37 +0000, 15
2015-03-01 01:59:11 +0000, 14
2015-03-02 02:30:28 +0000, 15
2015-03-03 02:37:44 +0000, 17
2015-03-04 02:48:49 +0000, 14
2015-03-05 02:23:03 +0000, 20
2015-03-06 02:15:52 +0000, 17
2015-03-07 02:00:31 +0000, 14
2015-03-08 01:53:40 +0000, 14
2015-03-09 02:08:06 +0000, 15
2015-03-10 02:17:12 +0000, 14
2015-03-11 02:41:04 +0000, 14
2015-03-12 02:07:23 +0000, 147
2015-03-13 02:02:33 +0000, 152
2015-03-14 02:00:34 +0000, 148
2015-03-15 01:58:13 +0000, 148
2015-03-16 02:15:14 +0000, 146
2015-03-17 02:18:47 +0000, 147
2015-03-18 03:31:34 +0000, 144
2015-03-19 03:31:59 +0000, 146
2015-03-20 03:33:36 +0000, 16
2015-03-21 03:19:22 +0000, 15
2015-03-22 03:22:24 +0000, 15
2015-03-23 03:25:23 +0000, 16
2015-03-24 03:31:16 +0000, 15
2015-03-25 03:46:40 +0000, 23
2015-03-26 03:31:48 +0000, 19
2015-03-27 03:01:22 +0000, 23
2015-03-28 01:58:03 +0000, 24
2015-03-29 03:10:44 +0100, 23
2015-03-30 01:53:32 +0100, 23
2015-03-31 01:55:04 +0100, 23
2015-04-01 02:00:30 +0100, 23
2015-04-02 02:29:52 +0100, 65
2015-04-04 02:00:56 +0100, 16
2015-04-05 02:01:10 +0100, 16
2015-04-06 02:09:06 +0100, 18
2015-04-07 02:18:30 +0100, 19
2015-04-08 00:05:29 +0100, 0
2015-04-09 04:14:10 +0100, 202
2015-04-10 02:16:07 +0100, 119
2015-04-11 01:54:20 +0100, 17
2015-04-12 01:54:44 +0100, 16
2015-04-13 02:02:02 +0100, 16
2015-04-14 01:54:02 +0100, 17
2015-04-15 05:31:49 +0100, 86
2015-04-16 02:02:31 +0100, 18
2015-04-17 01:59:55 +0100, 14
2015-04-18 02:02:26 +0100, 16
2015-04-19 01:58:50 +0100, 13
2015-04-20 02:11:54 +0100, 13
2015-04-21 01:57:59 +0100, 14
2015-04-22 02:07:41 +0100, 16
2015-04-23 02:03:36 +0100, 15
2015-04-24 01:59:58 +0100, 18
2015-04-25 01:57:34 +0100, 17
2015-04-26 01:54:34 +0100, 16
2015-04-27 02:02:09 +0100, 16
2015-04-28 01:58:43 +0100, 17
2015-04-29 01:55:46 +0100, 148
2015-04-30 03:27:33 +0100, 14
2015-05-01 03:16:09 +0100, 12
2015-05-02 03:09:07 +0100, 14
2015-05-03 03:01:24 +0100, 13
2015-05-04 02:58:29 +0100, 15
2015-05-05 02:32:09 +0100, 13
2015-05-06 02:55:43 +0100, 12
2015-05-07 03:22:51 +0100, 12
2015-05-08 03:00:58 +0100, 11
2015-05-09 03:21:56 +0100, 12
2015-05-10 03:35:05 +0100, 12
2015-05-11 03:22:24 +0100, 12
2015-05-12 03:17:41 +0100, 11
2015-05-13 03:32:23 +0100, 10
2015-05-14 03:35:10 +0100, 11
2015-05-15 03:17:48 +0100, 9
2015-05-16 05:28:50 +0100, 143
2015-05-17 03:25:45 +0100, 144
2015-05-18 03:14:37 +0100, 222
2015-05-19 02:51:51 +0100, 143
2015-05-20 02:55:55 +0100, 143
2015-05-21 03:03:30 +0100, 12
2015-05-22 04:49:14 +0100, 13
2015-05-23 05:39:14 +0100, 12
2015-05-24 03:10:51 +0100, 28
2015-05-25 02:58:45 +0100, 12
2015-05-26 03:10:24 +0100, 12
2015-05-27 03:20:47 +0100, 13
2015-05-28 03:24:07 +0100, 12
2015-05-29 02:05:26 +0100, 30
2015-05-30 01:58:43 +0100, 13
2015-05-31 02:57:04 +0100, 12
2015-06-01 02:22:04 +0100, 55
2015-06-02 02:20:25 +0100, 16
2015-06-03 02:13:24 +0100, 12
2015-06-04 02:19:28 +0100, 12
2015-06-05 01:57:28 +0100, 12
2015-06-06 02:22:31 +0100, 15
2015-06-07 03:03:03 +0100, 14
2015-06-08 03:13:54 +0100, 14
2015-06-09 02:16:40 +0100, 18
2015-06-10 02:04:36 +0100, 13
2015-06-11 02:01:43 +0100, 13
2015-06-12 02:24:34 +0100, 13
2015-06-13 02:08:41 +0100, 12
2015-06-14 03:03:26 +0100, 14
2015-06-15 03:21:27 +0100, 14
2015-06-16 03:08:11 +0100, 15
2015-06-17 02:43:04 +0100, 74
2015-06-18 03:16:31 +0100, 52
2015-06-19 02:07:04 +0100, 28
2015-06-20 02:36:44 +0100, 12
2015-06-21 03:10:13 +0100, 16
2015-06-22 02:53:54 +0100, 14
2015-06-23 03:04:26 +0100, 24
2015-06-24 03:06:57 +0100, 27
2015-06-25 03:12:47 +0100, 29
2015-06-26 03:22:20 +0100, 25
2015-06-27 02:36:41 +0100, 19
2015-06-28 02:03:18 +0100, 17
2015-06-29 02:59:46 +0100, 17
2015-06-30 03:27:52 +0100, 17
2015-07-01 03:26:28 +0100, 16
2015-07-02 03:21:01 +0100, 14
2015-07-03 03:51:33 +0100, 17
2015-07-04 03:22:09 +0100, 14
2015-07-05 03:48:09 +0100, 20
2015-07-06 03:26:03 +0100, 18
2015-07-07 03:28:31 +0100, 15
2015-07-08 03:29:09 +0100, 25
2015-07-09 03:23:15 +0100, 14
2015-07-10 03:19:04 +0100, 17
2015-07-11 03:21:47 +0100, 18
2015-07-12 03:22:59 +0100, 13
2015-07-13 03:27:37 +0100, 14
2015-07-14 03:32:40 +0100, 66
2015-07-15 03:29:28 +0100, 66
2015-07-16 03:32:20 +0100, 14
2015-07-17 03:30:41 +0100, 14
2015-07-18 03:29:58 +0100, 14
2015-07-19 04:07:11 +0100, 52
2015-07-20 03:34:35 +0100, 14
2015-07-21 03:25:45 +0100, 13
2015-07-22 02:58:01 +0100, 15
2015-07-23 03:24:26 +0100, 12
2015-07-24 03:38:10 +0100, 12
2015-07-25 03:32:14 +0100, 12
2015-07-26 04:32:07 +0100, 13
2015-07-27 03:36:15 +0100, 12
2015-07-28 03:23:54 +0100, 9
2015-07-29 03:36:29 +0100, 142
2015-07-30 03:29:41 +0100, 141
2015-07-31 03:31:05 +0100, 141
2015-08-01 03:15:23 +0100, 141
2015-08-02 03:08:57 +0100, 141
2015-08-03 03:05:31 +0100, 142
2015-08-04 02:16:22 +0100, 141
2015-08-05 02:40:15 +0100, 198
2015-08-06 02:37:45 +0100, 187
2015-08-07 02:13:23 +0100, 189
2015-08-08 05:05:15 +0100, 65
2015-08-09 05:38:04 +0100, 70
2015-08-10 05:31:07 +0100, 63
2015-08-11 06:04:58 +0100, 115
2015-08-12 02:19:50 +0100, 108
2015-08-13 02:16:30 +0100, 55
2015-08-14 02:47:12 +0100, 56
2015-08-15 02:55:38 +0100, 56
2015-08-16 00:11:14 +0100, 0
2015-08-17 00:09:24 +0100, 0
2015-08-18 01:23:18 +0100, 3936
2015-08-19 03:00:49 +0100, 185
2015-08-20 03:27:42 +0100, 170
2015-08-21 02:05:08 +0100, 172
2015-08-22 02:31:00 +0100, 171
